,relateid,actual,predicted,age_confidence,type_confidence,desc,atlas_estimate,color
7353,207090,QFUU,OSTP,0.48950386865819223,0.9999986769623361,FINE SAND,QSF2,UNKNOWN
7354,207090,RUUK,QUUK,0.9970605893195795,0.9869539306480789,TOP SOIL,QHT,BLACK   
7355,207091,CSLT,CSTL,0.9984979683824711,0.9568819638866326,CLAY SHALE,CSTL,GREEN   
7356,207093,CJSL,CSTL,0.904010363404076,0.7982540350752639,SANDSTONE,CSTL,WHITE   
7357,207095,OPDC,CJDN,0.750428902638594,0.9936647661097654,SHAKOPEE ROCK,OPSH,PINK    
7358,207098,CJSL,CSTL,0.9932510215985872,0.9555363671357638,SHALE & LEDGE,CSTL,UNKNOWN
7359,207099,QPUU,CJDN,0.5653204444551764,0.9709769767941645,CLAY AND GRAVEL,QSF2,DARK    
7360,207099,QBUU,OSTP,0.591145556752812,0.9999253534642659,BOULDER,QSF2,UNKNOWN
7361,207100,CJTC,CTCG,0.9983132071948951,0.9793473807483155,ST. LAWRENCE SAND AND SHALE,CTLR,YELLOW  
7362,207101,CJSL,CSTL,0.9495098453415053,0.9575909458530034,SHALE RED BROWN,CSTL,RED/BRN 
7363,207103,QPUG,CTCG,0.6992353851400075,0.5200302788345578,SHALE AND ROCKS,QML,GRAY    
7364,207103,QPUB,OSTP,0.937286518768733,0.9998283209315051,CLAY & GRAVEL,QSF1,TAN     
7365,207105,CJSL,CSTL,0.7915918761990013,0.664261786206175,SANDSTONE HARD,CSTL,UNKNOWN
7366,207105,QPUB,CJDN,0.9810499872407772,0.9978722917349818,GRAVEL SHALE,CJDN,TAN     
7367,207105,QCUB,OSTP,0.43133147295876134,0.9946617555314637,SHALE,QF2,TAN     
7368,207105,QCUU,OSTP,0.7739234055633109,0.9999891288945967,SHALE,QSF1,YEL/TAN 
7369,207105,QFUB,OSTP,0.5875724184688095,0.99656836065893,SOFT SANDSTONE,QCS,TAN     
7370,207105,QCUR,QCUU,0.9892256724587911,0.999986426006792,CLAY STICKY,QVT,RED/BRN 
7371,207106,CSTL,QBUU,0.6195673169818205,0.9984905706774263,SHAKOPEE,CSTL,PINK    
7372,207107,QPUB,CTCG,0.929325396360223,0.47102124331760226,"SHALE, SANDSTONE & GRAVEL",QSF2,TAN     
7373,207107,QPUB,OSTP,0.9035560485123274,0.9998517228741193,SHALE AND GRAVEL,QSF2,TAN     
7374,207107,QBUW,OSTP,0.5809657004760982,0.9709067097734924,GRANITE,QML,WHITE   
7375,207107,QPUB,OSTP,0.6752010089294158,0.9999549199398232,GRAVEL AND CLAY SOME SHALE,QSF1,TAN     
7376,207107,QPUR,OSTP,0.8953607643872645,0.987886864757642,CLAY AND GRAVEL,QF1,RED     
7377,207108,CTCW,CECR,0.994833808466491,0.5621030327001072,SHALE & SANDSTONE,CWOC,VARIED  
7378,207109,CWEC,CECR,0.9938347228589609,0.9459228828745418,SANDSTONE & SHALE,CWOC,BLU/BRN 
7379,207109,QPUB,CSTL,0.8089586095307608,0.7535579846029091,CLAY & GRAVEL,QET,BROWN   
7380,207109,QPUG,OSTP,0.5452922544501827,0.9999733938161667,SHALE & GRAVEL,QML,GRAY    
7381,207109,QPUB,OSTP,0.8381240758238137,0.9993598033079923,GRAVEL & CLAY,QSF1,BROWN   
7382,207110,QPUG,OSTP,0.9367954424296254,0.999934017620132,CLAY & GRAVEL,QML,GRAY    
7383,207112,QPUU,CTCG,0.9991077570858835,0.9524861334765949,SHALE CLAY AND GRAVEL,CTMZ,VARIED  
7384,207112,QPUK,OSTP,0.669996337549781,0.9870016167988132,PACKED GRAVEL & CLAY,QSF1,BLACK   
7385,207112,QPUB,OSTP,0.7227394329889818,0.9440147932348061,CLAY & GRAVEL,QCS,BROWN   
7386,207113,CSLW,CTCG,0.9988713003844606,0.7154073173211455,SHALE SANDSTONE,CTMZ,GREEN   
7387,207113,QPUG,CSTL,0.8011829175252948,0.9160260301265204,CLAY & GRAVEL BOULDERS,QML,GRAY    
7388,207113,QPUR,OSTP,0.8235067186866201,0.9974113279308903,CLAY & GRAVEL BOULDERS,QCS,RED     
7389,207121,QPUG,CTCG,0.8541560789752027,0.6753381868275903,"CLAY, GRAVEL & WOOD",QSF2,GRAY    
7390,207121,QCUU,OSTP,0.6993945986498508,0.9999899376249567,SHALE,QML,GREEN   
7391,207121,QPUG,OSTP,0.9181675892725037,0.9999382335100915,CLAY & GRAVEL,QML,GRAY    
7392,207121,QPUR,OSTP,0.6808631907211754,0.9934691475186204,CLAY & GRAVEL,QCS,RED     
7393,207122,QPUY,QPUU,0.9907890387009113,0.9987382282625489,YELLOW CLAY-ROCKS,QHT,UNKNOWN
7394,207129,OPDC,CJDN,0.4614362278673874,0.8530730736728861,SHAKOPEE,OSTP,PINK    
7395,207129,QLUU,QLUB,0.9996113780813279,0.9998727342401604,CLAY AND SAND LAYERS,QCS,DK. BRN 
7396,207129,QFUU,QFUB,0.9996247252798431,0.9996451429829251,SAND,QVT,BROWN   
7397,207149,X,QUUU,0.9900909053654577,0.7411647383314441,PIT,QAT,UNKNOWN
7398,207165,OPDC,CJDN,0.5120752509082949,0.9886316671490428,SHAKOPEE,OPSH,PINK    
7399,207168,OSTP,CJDN,0.8805610013509173,0.9982465524373267,SANDSTONE,OSTP,WHITE   
7400,207174,OPVL,QBUU,0.9334567602292764,0.9964359960763033,BROKEN LIME,OPGW,UNKNOWN
7401,207407,CTCG,QNUU,0.8633133367740875,0.9992023632368673,DIRTY SANDSTONE,QML,UNKNOWN
7402,207407,QPUU,OSTP,0.5356830951464374,0.9998233221168237,"HARD CLAY, GRAVEL",QML,UNKNOWN
7403,207469,CJDN,CSTL,0.9974932009176836,0.6411868116034868,ST. LAWRENCE,CSTL,UNKNOWN
7404,207469,OPDC,CJDN,0.9317956689139275,0.9980674267125371,SHAKOPEE L.R.,OPOD,UNKNOWN
7405,207469,OSTP,OPDC,0.965689815027526,0.9987604707472975,SHAKOPEE SHALEY L.R.,OPSH,UNKNOWN
7406,207469,OSTP,OPDC,0.7230424361563673,0.9884505596778409,SHAKOPEE L.R. & SANDROCK,OSTP,UNKNOWN
7407,207469,QUUU,OSTP,0.7454905077099371,0.9980300367445853,ST. PETER SANDROCK,QML,UNKNOWN
7408,207469,QPUR,QPUU,0.9450386858725589,0.9939726614906924,SAND-GRAVEL & RED SHALE,QSF1,UNKNOWN
7409,207469,FILL,QUUU,0.9487682963304717,0.7688784264067745,FILL,UNKNOWN,UNKNOWN
7410,207674,OPDC,CJDN,0.7350106474670192,0.9985801422982034,ROCK,OPOD,UNKNOWN
7411,207674,OPGW,OGWD,0.9880272091611197,0.9960899499150244,PLATTEVILLE ROCK,OPGW,UNKNOWN
7412,207827,QGUU,OSTP,0.9758425590825207,0.9999834200739708,GRAVEL,QS2,UNKNOWN
7413,207915,QCUG,QCUR,0.8950564618221026,0.9899500369553356,CLAY,QCS,RED     
7414,207916,OPDC,CJDN,0.734938672184206,0.9651482250677942,LIMEROCK,QS3,UNKNOWN
7415,207995,CECR,CWOC,0.9916764435469031,0.8146868778131516,SHALE AND SANDSTONE,CWOC,UNKNOWN
7416,207995,OPDC,CJDN,0.6663343115847453,0.99968886938132,ROCK,OPOD,UNKNOWN
7417,207995,OSTP,OGWD,0.941135332301559,0.977005911226797,SANDROCK,OSTP,UNKNOWN
7418,207995,OPGW,OPVL,0.9929777353835201,0.9967072450361669,LIMEROCK,OPGW,UNKNOWN
7419,208010,OPDC,CJDN,0.5788315699416947,0.9997026253795067,JORDAN SANDSTONE,OPOD,UNKNOWN
7420,208010,OSTP,OGWD,0.9834894670745467,0.5901163895531293,SANDSTONE,OSTP,UNKNOWN
7421,208010,OSTP,OGWD,0.9925159517892216,0.968671305610872,PLATTEVILLE LIMESTONE,OPGW,UNKNOWN
7422,208010,OPVL,QUUU,0.8183652664665344,0.9999562644524079,GLACIAL DRIFT,QML,UNKNOWN
7423,208011,OPDC,CJDN,0.44110934669105206,0.9972431608599607,SHAKOPEE LIMEROCK,OPOD,UNKNOWN
7424,208011,OSTP,OGWD,0.9557517424536058,0.8192519755467563,ST. PETER SANDROCK,OSTP,UNKNOWN
7425,208011,OPGW,OPVL,0.99269797611924,0.48223859948320397,PLATTEVILLE LIMEROCK,OPGW,UNKNOWN
7426,208012,OPDC,QHUU,0.6171372454883324,0.24644066351130012,SHAKOPEE SANDY,OPOD,UNKNOWN
